30,MARIO KART: SUPER CIRCUIT,Esportes,livre,null
31,PICA-PAU RACING,Esportes,livre,Aprendizado Infantil (Formas
31,PICA-PAU RACING,Esportes,livre,Infantil
32,007 - O MUNDO NAO É O BASTANTE,Acao,Inadequado para menores de 14 anos,Violencia
33,STARTOPIA,Estrategia,Inadequado para menores de 16 anos,Insinuacões de sexo
33,STARTOPIA,Estrategia,Inadequado para menores de 16 anos,Violencia moderada
34,PLANETA DOS MACACOS,Aventura/Acao,Inadequado para menores de 14 anos,Tensao
34,PLANETA DOS MACACOS,Aventura/Acao,Inadequado para menores de 14 anos,Violencia
35,GANGSTERS 2,Estrategia,Inadequado para menores de 18 anos,Drogas
35,GANGSTERS 2,Estrategia,Inadequado para menores de 18 anos,Violencia
36,HEAVY GEAR II,Acao,Inadequado para menores de 16 anos,Tensao
36,HEAVY GEAR II,Acao,Inadequado para menores de 16 anos,Violencia
37,ANACHRONOX,Aventura/Acao ,Inadequado para menores de 16 anos,Tensao
37,ANACHRONOX,Aventura/Acao ,Inadequado para menores de 16 anos,Violencia
38,COMMANDOS - HOMENS DE CORAGEM,Estrategia,Inadequado para menores de 16 anos,Tensao
38,COMMANDOS - HOMENS DE CORAGEM,Estrategia,Inadequado para menores de 16 anos,Violencia
39,MUSEU DO LOUVRE PARA CRIANCAS,Infantil,livre,Educacional
39,MUSEU DO LOUVRE PARA CRIANCAS,Educacional,livre,Educacional
40,CIENCIA DIVERTIDA - ELETRICIDADE E IMAS,Infantil,livre,Educacional
40,CIENCIA DIVERTIDA - ELETRICIDADE E IMAS,Educacional,livre,Educacional
42,O PEQUENO PLANETA PERDIDO,Infantil,livre,Educacional
42,O PEQUENO PLANETA PERDIDO,Educacional,livre,Educacional
44,PERDIDO NA AMAZONIA,Infantil ,livre,Educacional
44,PERDIDO NA AMAZONIA,Infantil,livre,Infantil
44,PERDIDO NA AMAZONIA,Educacional,livre,Educacional
44,PERDIDO NA AMAZONIA,Educacional,livre,Infantil
